"site","variable","species","trt","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"primary","nucleicP","rhapis_excelsa","p",0.277,0.276,0.015,0.076,0.005,0.025,9,9
"primary","nucleicP","rhapis_excelsa","np",0.277,0.275,0.015,0.002,0.005,0.001,9,9
"primary","residualP","hancea_hookeriana","n",0.11,0.125,0.016,0.004,0.005,0.001,9,9
"primary","residualP","hancea_hookeriana","p",0.11,0.105,0.016,0.012,0.005,0.004,9,9
"primary","residualP","hancea_hookeriana","np",0.11,0.1,0.016,0.012,0.005,0.004,9,9
"primary","residualP","gironniera_subaequalis","n",0.114,0.102,0.01,0.01,0.003,0.003,9,9
"primary","residualP","gironniera_subaequalis","p",0.114,0.112,0.01,0.001,0.003,0,9,9
"primary","residualP","gironniera_subaequalis","np",0.114,0.103,0.01,0.023,0.003,0.008,9,9
"primary","residualP","calamus_tetradactyloides","n",0.138,0.172,0.009,0.028,0.003,0.009,9,9
"primary","residualP","calamus_tetradactyloides","p",0.138,0.091,0.009,0.024,0.003,0.008,9,9
"primary","residualP","calamus_tetradactyloides","np",0.138,0.101,0.009,0.024,0.003,0.008,9,9
"primary","residualP","cryptocarya_chinensis","n",0.104,0.104,0.006,0.017,0.002,0.006,9,9
"primary","residualP","cryptocarya_chinensis","p",0.104,0.074,0.006,0.015,0.002,0.005,9,9
"primary","residualP","cryptocarya_chinensis","np",0.104,0.094,0.006,0.012,0.002,0.004,9,9
"primary","residualP","psychotria_asiatica","n",0.098,0.099,0.023,0.007,0.008,0.002,9,9
"primary","residualP","psychotria_asiatica","p",0.098,0.079,0.023,0.014,0.008,0.005,9,9
"primary","residualP","psychotria_asiatica","np",0.098,0.087,0.023,0.019,0.008,0.006,9,9
"primary","residualP","nephelium_lappaceum","n",0.093,0.078,0.009,0.014,0.003,0.005,9,9
"primary","residualP","nephelium_lappaceum","p",0.093,0.068,0.009,0.024,0.003,0.008,9,9
"primary","residualP","nephelium_lappaceum","np",0.093,0.067,0.009,0.008,0.003,0.003,9,9
"primary","residualP","ampelocalamus_actinotrichus","n",0.095,0.088,0.006,0.026,0.002,0.009,9,9
"primary","residualP","ampelocalamus_actinotrichus","p",0.095,0.062,0.006,0.004,0.002,0.001,9,9
"primary","residualP","ampelocalamus_actinotrichus","np",0.095,0.07,0.006,0.03,0.002,0.01,9,9
"primary","residualP","rhapis_excelsa","n",0.133,0.135,0.017,0.008,0.006,0.003,9,9
"primary","residualP","rhapis_excelsa","p",0.133,0.096,0.017,0.004,0.006,0.001,9,9
"primary","residualP","rhapis_excelsa","np",0.133,0.126,0.017,0.016,0.006,0.005,9,9
"secondary","asat","blastus_cochinchinensis","n",0.944,1.437,0.163,0.578,0.054,0.193,9,9
"secondary","asat","blastus_cochinchinensis","p",0.944,1.462,0.163,0.379,0.054,0.126,9,9
"secondary","asat","blastus_cochinchinensis","np",0.944,2.937,0.163,0.972,0.054,0.324,9,9
