"exp","Species","Treatm","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"crous2017","themeda_triandra","HNLP","Narea",0.5667593005,0.9538010565,0.120357485137457,0.109873604528052,0.0491357375518968,0.0448557112156799,6,6
"crous2017","themeda_triandra","LNHP","Narea",0.5667593005,0.595853447666667,0.120357485137457,0.0492458428962261,0.0491357375518968,0.0201045311748363,6,6
"crous2017","themeda_triandra","HNHP","Narea",0.5667593005,0.928074870166667,0.120357485137457,0.0702990586872204,0.0491357375518968,0.0286994705302765,6,6
"crous2017","viola_hederacea","HNLP","Narea",0.7546634096,1.25995145983333,0.11190558175977,0.282189160144953,0.0500456975753011,0.11520324221661,5,6
"crous2017","viola_hederacea","LNHP","Narea",0.7546634096,0.884532274166667,0.11190558175977,0.214034050725028,0.0500456975753011,0.0873790353095485,5,6
"crous2017","viola_hederacea","HNHP","Narea",0.7546634096,1.17575810683333,0.11190558175977,0.18913009659214,0.0500456975753011,0.0772120386090064,5,6
"crous2017","acacia_decora","HNLP","Pmass",0.981666666666667,0.708,0.207693684705787,0.279141541157886,0.084790591721278,0.124835892274618,6,5
"crous2017","acacia_decora","LNHP","Pmass",0.981666666666667,3.285,0.207693684705787,1.09381442667392,0.084790591721278,0.446547869774339,6,6
"crous2017","acacia_decora","HNHP","Pmass",0.981666666666667,4.21,0.207693684705787,1.89649149747633,0.084790591721278,0.774239411723962,6,6
"crous2017","acacia_melanoxylon","HNLP","Pmass",1.03666666666667,0.53,1.06964791715156,0.168522995463527,0.436681933575356,0.0687992248018343,6,6
"crous2017","acacia_melanoxylon","LNHP","Pmass",1.03666666666667,2.322,1.06964791715156,0.501068857543552,0.436681933575356,0.224084805375108,6,5
"crous2017","acacia_melanoxylon","HNHP","Pmass",1.03666666666667,2.22333333333333,1.06964791715156,0.693618531086552,0.436681933575356,0.283168579550141,6,6
"crous2017","allocasuarina_luehmannii","HNLP","Pmass",2.78,0.84,0.697567201063812,0.375872318746672,0.311961536090589,0.153449231561017,5,6
"crous2017","allocasuarina_luehmannii","LNHP","Pmass",2.78,9.825,0.697567201063812,3.85811741656472,0.311961536090589,1.5750698397214,5,6
"crous2017","allocasuarina_luehmannii","HNHP","Pmass",2.78,3.6,0.697567201063812,1.07424392015966,0.311961536090589,0.438558243946381,5,6
"crous2017","atriplex_nummularia","HNLP","Pmass",1.32,1.49166666666667,0.275317997958724,2.25428850564134,0.123125951772971,0.920309428640414,5,6
"crous2017","atriplex_nummularia","LNHP","Pmass",1.32,6.0025,0.275317997958724,0.941643067550899,0.123125951772971,0.47082153377545,5,4
"crous2017","atriplex_nummularia","HNHP","Pmass",1.32,2.64,0.275317997958724,1.03237590053236,0.123125951772971,0.421465696508427,5,6
"crous2017","banksia_integrifolia","HNLP","Pmass",0.458,0.456666666666667,0.279231087094543,0.171775046693828,0.124875938434912,0.0701268691571054,5,6
"crous2017","banksia_integrifolia","LNHP","Pmass",0.458,3.744,0.279231087094543,1.49210589436541,0.124875938434912,0.667290041885835,5,5
"crous2017","banksia_integrifolia","HNHP","Pmass",0.458,3.37,0.279231087094543,1.04743496218142,0.124875938434912,0.427613532682647,5,6
"crous2017","banksia_spinulosa","HNLP","Pmass",0.583333333333333,0.9775,0.319916655813146,0.650813593383953,0.130605427826633,0.325406796691976,6,4
"crous2017","banksia_spinulosa","LNHP","Pmass",0.583333333333333,6.72,0.319916655813146,2.4724178449445,0.130605427826633,1.10569887401589,6,5
"crous2017","brachychiton_populneus","LNHP","Pmass",1.254,7.68,0.409304287785994,3.34861165261068,0.183046442194324,1.49754465709708,5,5
"crous2017","brachychiton_populneus","HNHP","Pmass",1.254,5.056,0.409304287785994,2.23370320320315,0.183046442194324,0.998942440784252,5,5
"crous2017","brachychiton_rupestris","HNLP","Pmass",0.953333333333333,0.73,0.142220486100515,0.391024295920343,0.0580612703194747,0.174871381306376,6,5
"crous2017","brachychiton_rupestris","LNHP","Pmass",0.953333333333333,1.72333333333333,0.142220486100515,0.539580083645298,0.0580612703194747,0.220282646716541,6,6
"crous2017","brachychiton_rupestris","HNHP","Pmass",0.953333333333333,2.70666666666667,0.142220486100515,0.427956384070464,0.0580612703194747,0.174712462189863,6,6
"crous2017","callistemom_citrinus","HNLP","Pmass",1.046,0.36,0.589347096370212,0.0993981891183134,0.263564033965183,0.0405791407827552,5,6
"crous2017","callistemom_citrinus","LNHP","Pmass",1.046,1.65833333333333,0.589347096370212,0.635654518324748,0.263564033965183,0.259504870431709,5,6
"crous2017","callistemom_citrinus","HNHP","Pmass",1.046,1.56166666666667,0.589347096370212,0.320275922708321,0.263564033965183,0.130752097922409,5,6
"crous2017","callistemom_salignus","HNLP","Pmass",0.926666666666667,0.425,0.524582373576035,0.205109726731815,0.214159857219892,0.0837356952957738,6,6
"crous2017","callistemom_salignus","LNHP","Pmass",0.926666666666667,2.67833333333333,0.524582373576035,0.761509465907461,0.214159857219892,0.31088493762877,6,6
"crous2017","callistemom_salignus","HNHP","Pmass",0.926666666666667,1.75,0.524582373576035,0.590592922409336,0.214159857219892,0.241108550933668,6,6
"crous2017","callitris_endlicheri","HNLP","Pmass",1.1,0.526,0.443531284127738,0.109453186340097,0.181070888512391,0.0489489530020817,6,5
"crous2017","callitris_endlicheri","LNHP","Pmass",1.1,9.615,0.443531284127738,3.29076738770762,0.181070888512391,1.34345016034587,6,6
"crous2017","callitris_endlicheri","HNHP","Pmass",1.1,8.904,0.443531284127738,3.33299114910316,0.181070888512391,1.49055895555996,6,5
"crous2017","callitris_glaucophylla","HNLP","Pmass",0.88,1.05166666666667,0.207966343430854,0.985929341619706,0.0930053761886914,0.402503968234407,5,6
"crous2017","callitris_glaucophylla","LNHP","Pmass",0.88,5.92,0.207966343430854,1.87338196852644,0.0930053761886914,0.764804986036746,5,6
"crous2017","callitris_glaucophylla","HNHP","Pmass",0.88,10.1033333333333,0.207966343430854,4.51785642386593,0.0930053761886914,1.84440716160445,5,6
"crous2017","campanula_persicifolia_'alba'_","HNLP","Pmass",2.31166666666667,1.16666666666667,0.436596686504452,0.661200927605722,0.17823985088763,0.269934148348156,6,6
"crous2017","campanula_persicifolia_'alba'_","LNHP","Pmass",2.31166666666667,4.85333333333333,0.436596686504452,0.502301370361128,0.17823985088763,0.205063675747586,6,6
"crous2017","campanula_persicifolia_'alba'_","HNHP","Pmass",2.31166666666667,3.44666666666667,0.436596686504452,0.715392666069947,0.17823985088763,0.292057832933441,6,6
"crous2017","casuarina_cunninghammiana","HNLP","Pmass",1.02,0.34,0.7141988518613,0.101390334845093,0.29157046032363,0.0413924308700677,6,6
"crous2017","casuarina_cunninghammiana","LNHP","Pmass",1.02,3.13,0.7141988518613,2.4756494097509,0.29157046032363,1.01067963931868,6,6
