site_code,year,exp_duration,trt,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
cowi.ca,2011,4,P,narea,4.019620095,3.248380059,5.254993835,1.275634554,1.751664612,0.482144542,9,7
cowi.ca,2011,4,NP,narea,4.019620095,2.771487644,5.254993835,0.601338805,1.751664612,0.200446268,9,9
elliot.us,2011,3,N,narea,1.575486293,1.478385743,0.615499766,0.238364711,0.205166589,0.084274652,9,8
elliot.us,2011,3,P,narea,1.575486293,1.422596111,0.615499766,0.107257835,0.205166589,0.040539651,9,7
elliot.us,2011,3,NP,narea,1.575486293,1.678470607,0.615499766,0.392350458,0.205166589,0.130783486,9,9
frue.ch,2011,3,N,narea,4.638620342,5.618240308,2.818384224,4.558369087,1.065249108,1.611626846,7,8
frue.ch,2011,3,P,narea,4.638620342,3.903994736,2.818384224,6.209213111,1.065249108,1.963525591,7,10
frue.ch,2011,3,NP,narea,4.638620342,1.848073389,2.818384224,0.854073794,1.065249108,0.284691265,7,9
gilb.za,2012,2,N,narea,7.835975875,10.03611058,13.09543326,13.80937654,4.36514442,4.366908292,9,10
gilb.za,2012,2,P,narea,7.835975875,10.46594474,13.09543326,14.01775022,4.36514442,4.672583405,9,9
gilb.za,2012,2,NP,narea,7.835975875,9.229324494,13.09543326,14.96110861,4.36514442,4.987036204,9,9
hopl.us,2011,4,N,narea,1.354176374,1.581628083,0.855915242,1.084250148,0.285305081,0.409808036,9,7
hopl.us,2011,4,P,narea,1.354176374,1.14205258,0.855915242,1.137691029,0.285305081,0.379230343,9,9
hopl.us,2011,4,NP,narea,1.354176374,1.674041319,0.855915242,0.39569432,0.285305081,0.131898107,9,9
kiny.au,2011,4,N,narea,26.42172848,19.15573733,11.35536221,8.552423083,3.785120735,2.850807694,9,9
kiny.au,2011,4,P,narea,26.42172848,67.39045803,11.35536221,97.02516405,3.785120735,36.672065,9,7
kiny.au,2011,4,NP,narea,26.42172848,33.62004762,11.35536221,19.78066363,3.785120735,6.993520696,9,8
konz.us,2011,4,N,narea,1.923161755,1.795562025,0.93621307,0.268119735,0.468106535,0.189589283,4,2
konz.us,2011,4,P,narea,1.923161755,1.154508363,0.93621307,0.00155807,0.468106535,0.001101722,4,2
konz.us,2011,4,NP,narea,1.923161755,1.998377898,0.93621307,0.399828284,0.468106535,0.230840967,4,3
lancaster.uk,2011,3,N,narea,1.898159873,2.108402102,0.444318416,0.527724143,0.148106139,0.175908048,9,9
lancaster.uk,2011,3,P,narea,1.898159873,1.78737776,0.444318416,0.351286531,0.148106139,0.124198544,9,8
lancaster.uk,2011,3,NP,narea,1.898159873,2.194080856,0.444318416,0.525516406,0.148106139,0.175172135,9,9
look.us,2011,4,N,narea,6.956184163,1.4445053,16.29211301,0.1200375,5.430704337,0.0400125,9,9
look.us,2011,4,P,narea,6.956184163,5.902803617,16.29211301,12.33910348,5.430704337,4.113034492,9,9
look.us,2011,4,NP,narea,6.956184163,11.50654764,16.29211301,19.90933209,5.430704337,6.636444031,9,9
mcla.us,2011,4,N,narea,2.412824912,3.169585548,1.472221424,1.291583302,0.490740475,0.430527767,9,9
mcla.us,2011,4,P,narea,2.412824912,2.700101427,1.472221424,2.254279918,0.490740475,0.751426639,9,9
mcla.us,2011,4,NP,narea,2.412824912,2.925095406,1.472221424,1.731375682,0.490740475,0.577125227,9,9
mtca.au,2011,3,N,narea,7.530788427,6.915368212,3.532717252,4.360402433,1.249004162,1.541635065,8,8
mtca.au,2011,3,P,narea,7.530788427,23.03342211,3.532717252,60.40585334,1.249004162,19.10200806,8,10
mtca.au,2011,3,NP,narea,7.530788427,5.190217953,3.532717252,3.081464569,1.249004162,0.929096525,8,11
sage.us,2011,4,N,narea,2.087789273,1.777124259,0.921098198,0.444472623,0.411927637,0.148157541,5,9
sage.us,2011,4,P,narea,2.087789273,1.40360934,0.921098198,0.69363047,0.411927637,0.310200976,5,5
sage.us,2011,4,NP,narea,2.087789273,1.582935267,0.921098198,1.5008265,0.411927637,0.75041325,5,4
sgs.us,2011,4,N,narea,2.632985501,3.286623804,0.614973506,0.526804972,0.204991169,0.186253684,9,8
sgs.us,2011,4,P,narea,2.632985501,2.508019133,0.614973506,0.362460184,0.204991169,0.147973751,9,6
sgs.us,2011,4,NP,narea,2.632985501,3.234501168,0.614973506,0.453672292,0.204991169,0.151224097,9,9
shps.us,2011,4,N,narea,2.36927051,1.776511829,1.034868495,0.788144333,0.517434248,0.297890557,4,7
shps.us,2011,4,P,narea,2.36927051,1.308048613,1.034868495,0.60004054,0.517434248,0.226794006,4,7
shps.us,2011,4,NP,narea,2.36927051,1.820021276,1.034868495,0.886696608,0.517434248,0.313494592,4,8
sier.us,2011,4,N,narea,2.064063734,2.439759591,1.022014489,1.387719484,0.340671496,0.566534107,9,6
sier.us,2011,4,P,narea,2.064063734,2.339171261,1.022014489,1.495338133,0.340671496,0.528681867,9,8
sier.us,2011,4,NP,narea,2.064063734,2.160175875,1.022014489,0.393741482,0.340671496,0.160744287,9,6
smith.us,2011,4,N,narea,1.26811202,1.531893912,0.491105034,0.576216611,0.163701678,0.203723336,9,8
smith.us,2011,4,P,narea,1.26811202,1.610722865,0.491105034,1.024836759,0.163701678,0.341612253,9,9
smith.us,2011,4,NP,narea,1.26811202,1.838087863,0.491105034,0.51454355,0.163701678,0.181918617,9,8
summ.za,2012,2,N,narea,6.446139777,7.850866712,4.534921271,5.745210669,1.309119008,1.816795135,12,10
summ.za,2012,2,P,narea,6.446139777,6.060268408,4.534921271,4.145012689,1.309119008,1.249768349,12,11
summ.za,2012,2,NP,narea,6.446139777,4.944158159,4.534921271,4.253987726,1.309119008,1.417995909,12,9
unc.us,2011,4,N,narea,1.365445659,2.339013928,0.908817221,0.780595794,0.302939074,0.260198598,9,9
unc.us,2011,4,P,narea,1.365445659,1.343103621,0.908817221,0.414380369,0.302939074,0.13812679,9,9
unc.us,2011,4,NP,narea,1.365445659,2.075802921,0.908817221,0.703304509,0.302939074,0.222404414,9,10
valm.ch,2011,3,N,narea,2.401951697,3.435555561,0.926494135,1.376304504,0.202177595,0.315745908,21,19
valm.ch,2011,3,P,narea,2.401951697,2.63490088,0.926494135,1.665038794,0.202177595,0.363341253,21,21
valm.ch,2011,3,NP,narea,2.401951697,2.770559044,0.926494135,0.86786682,0.202177595,0.194060921,21,20
bldr.us,2011,3,N,pmass,0.328762681,0.195497979,0.167018487,0.025476828,0.096428168,0.011393584,3,5
bldr.us,2011,3,P,pmass,0.328762681,0.540530165,0.167018487,0.139175209,0.096428168,0.056818041,3,6
bldr.us,2011,3,NP,pmass,0.328762681,0.388727131,0.167018487,0.162840282,0.096428168,0.09401588,3,3
bnch.us,2011,4,N,pmass,0.16652875,0.117924714,0.037796361,0.029048922,0.013363031,0.010979461,8,7
bnch.us,2011,4,P,pmass,0.16652875,0.343913667,0.037796361,0.218126198,0.013363031,0.072708733,8,9
bnch.us,2011,4,NP,pmass,0.16652875,0.245990667,0.037796361,0.07036904,0.013363031,0.023456347,8,9
bogong.au,2011,2,N,pmass,0.290780156,0.265536838,0.119472608,0.107799785,0.034488771,0.032502858,12,11
bogong.au,2011,2,P,pmass,0.290780156,0.434611843,0.119472608,0.114723499,0.034488771,0.036278756,12,10
bogong.au,2011,2,NP,pmass,0.290780156,0.504949495,0.119472608,0.140528741,0.034488771,0.04237101,12,11
burrawan.au,2011,3,N,pmass,0.162496407,0.119901313,0.093070753,0.059937177,0.026867212,0.016623582,12,13
burrawan.au,2011,3,P,pmass,0.162496407,0.360469445,0.093070753,0.155147495,0.026867212,0.044787224,12,12
burrawan.au,2011,3,NP,pmass,0.162496407,0.378028293,0.093070753,0.200877767,0.026867212,0.055713468,12,13
cbgb.us,2012,3,N,pmass,0.203487587,0.266528859,0.105250133,0.099102636,0.035083378,0.033034212,9,9
cbgb.us,2012,3,P,pmass,0.203487587,0.307626591,0.105250133,0.257532132,0.035083378,0.085844044,9,9
cbgb.us,2012,3,NP,pmass,0.203487587,0.204872025,0.105250133,0.116172933,0.035083378,0.038724311,9,9
comp.pt,2014,2,N,pmass,0.222366407,0.28339358,0.144708435,0.119535329,0.040134899,0.059767664,13,4
comp.pt,2014,2,P,pmass,0.222366407,0.34692584,0.144708435,0.146670983,0.040134899,0.073335492,13,4
