Harvest,Months.in,Pot,Species,Spp,Treatment,Classification,Adult stature, Vcmax.a , Jmax.a, TPU.a, Rlight.a, Vomax25.a, avgTleaf ,Amax.a,Asat.a,  Rdark.a  ,PAR,MinCond, MaxCond , Ci.Ca ,Start,Leaf.thickness,LDMC,LMA,FMA,LeafN,LeafP,N.area,P.area, Vcmax.m, Jmax.m,TPU.m,  Rlight.m ,Amax.m,Asat.m, Rdark.m ,PNUE,PPUE,RatioNP
1,9,Pot 44,Hymenosporum flavum,Hf,Minus P,Light demanding,Small tree,11.84200954,26.12561184,2.251092164,0.743272376,2.156553415,26.91744444,6.32,2.66,NA,500,0.0689,0.113,0.863799532,583,NA,0.29781288,70.22922636,235.8166189,34.29886364,2.327386364,2.408782658,163.4505438,0.168619393,0.372004836,32.05349512,10.58351935,89.99102407,37.87596899,NA,2.623731941,38.66613016,14.73707339
1,9,Pot 45,Auranticarpa ilicifolium,Ai,Minus P,Light demanding,Small tree,18.89482253,34.20105316,2.747604013,1.134813971,3.365308224,27.17422222,9.26,3.78,NA,500,0.0356,0.089,0.774703101,894,NA,0.399918798,142.0843851,355.2830869,17.8587,1.715925,2.537442409,243.8061486,0.132983104,0.240709443,19.33783231,7.986901373,65.17253807,26.60390863,NA,3.649343909,37.98099455,10.40762271
1,9,Pot 46,Neolitsea dealbata,Nd,Control,Pioneer,Small tree,44.43640548,58.82413172,4.466556487,0.649669349,7.751702957,27.41466667,13,7.44,NA,500,0.0669,0.0946,0.617154776,3428,NA,0.467531157,99.36729223,212.536193,12.97262228,1.864334239,1.289054349,185.2538451,0.447193483,0.591986864,44.9499668,6.538060303,130.8277574,74.87373192,NA,10.08491225,70.17398203,6.958313595
1,9,Pot 47,Hymenosporum flavum,Hf,Control,Light demanding,Small tree,42.0532617,66.7204782,5.164112849,0.592338539,7.84095884,26.64566667,15.8,9.55,NA,500,0.104,0.215,0.751926693,1222,NA,0.301797371,75.18378258,249.1200713,24.33791899,3.58648743,1.82981681,269.6456912,0.559339531,0.887431783,68.68652616,7.878541339,210.1517037,127.0220741,NA,8.634744152,58.59541063,6.786004264
1,9,Pot 48,Guioa lasioneura,Gl,Control,Shade tolerant,Understory shrub,52.49077854,84.0397656,6.002868424,0.858605385,8.838169488,27.82533333,17.6,6.98,NA,500,0.0291,0.0683,0.490210141,4549,NA,0.41195344,107.099903,259.9806014,17.83026316,3.085855263,1.909619455,330.4947994,0.490110421,0.78468573,56.0492424,8.01686426,164.3325485,65.17279478,NA,9.216495965,53.25348548,5.77806204
1,9,Pot 49,Auranticarpa ilicifolium,Ai,Control,Light demanding,Small tree,56.82208936,77.0193867,5.270472828,0.811420651,9.975780786,27.34077778,17.4,8.08,NA,500,0.0513,0.0681,0.488479624,4531,NA,0.459433509,136.8707094,297.9118993,15.76419437,2.414769821,2.157656467,330.5112584,0.415151566,0.562716355,38.50694463,5.928373242,127.1272727,59.033814,NA,8.064305077,52.64571042,6.528238939
1,9,Pot 50,Cryptocarya triplinervis,Ct,Minus P,Light demanding,Canopy,33.40842667,44.70667617,3.145373739,0.106123362,6.471189759,26.207,10.8,6.98,NA,500,0.0447,0.118,0.628222604,25,NA,0.345244795,61.53460381,178.2347041,29.95964286,2.818928571,1.843554754,173.4616528,0.542920968,0.726529033,51.1155276,1.724612738,175.5110024,113.4321108,NA,5.858247486,62.26159975,10.62802483
1,9,Pot 51,Guioa lasioneura,Gl,Minus P,Shade tolerant,Understory shrub,30.89314198,55.35195811,4.171555853,0.439668708,5.499655019,27.17977778,12.5,6.66,NA,500,0.0325,0.113,0.623261616,538,NA,0.345738877,82.4515756,238.4793293,13.22300613,2.363535276,1.09025769,194.8772075,0.374682251,0.671326869,50.59401015,5.332447619,151.6041374,80.77468443,NA,11.46517939,64.14295525,5.594588018
1,9,Pot 52,Syzygium wilsonii,Sw,Control,Shade tolerant,Understory shrub,19.0852289,40.94450593,3.0852533,0.575760041,4.027546353,25.22577778,9.75,2.9,NA,300,0.00757,0.0328,0.491987298,180,NA,0.454796585,99.7246696,219.2731278,10.62055288,3.026201923,1.059131127,301.7869869,0.191379214,0.410575498,30.93771393,5.773496596,97.76918829,29.08006626,NA,9.205659004,32.30755606,3.509532131
1,9,Pot 53,Syzygium wilsonii,Sw,Minus P,Shade tolerant,Understory shrub,11.2542497,26.35024434,2.214455152,0.7633562,2.045318713,26.94111111,6.06,1.74,NA,300,0.0136,0.0218,0.641556396,4515,NA,0.392449799,79.7844546,203.2984977,8.18468845,2.444566869,0.653010904,195.0384344,0.141058177,0.330267901,27.75547145,9.567731,75.95464593,21.80875972,NA,9.28009006,31.07079904,3.348113955
1,9,Pot 54,Cryptocarya triplinervis,Ct,Control,Light demanding,Canopy,31.77171563,53.72483805,4.193091645,0.539272436,6.637124687,25.34155556,12.5,7.08,NA,500,0.085,0.231,0.776809627,496,NA,0.33786995,55.07042254,162.9929577,25.57064644,3.928397098,1.408186304,216.3384881,0.576928852,0.975566113,76.14053882,9.792415072,226.9820972,128.5626598,NA,8.876666366,57.77982509,6.509180666
1,9,Pot 55,Neolitsea dealbata,Nd,Minus P,Pioneer,Small tree,27.58431347,37.608063,3.000388816,0.691166532,4.952467701,27.08166667,9.07,5.27,NA,500,0.0734,0.0938,0.73560784,2870,NA,0.411034558,93.68145563,227.9162512,19.73958831,1.925387828,1.849233366,180.3731344,0.29444796,0.401446185,32.027564,7.377837245,96.81745377,56.25446322,NA,4.904735209,50.28465037,10.25226607
