"trait","nut_add","k","mod","estimate","se","estimate_se","zval","pval","ci.lb","ci.ub","ci_range"
"bnpp","np",48,"gs_par",0.001,0,"0.001±0.000",1.627,0.104,-0,0.002,"[-0.000, 0.002]"
"rmf","n",34,"intrcpt",-1.072,0.672,"-1.072±0.672",-1.595,0.111,-2.39,0.246,"[-2.390, 0.246]"
"rmf","n",34,"gs_mat",-0.006,0.014,"-0.006±0.014",-0.455,0.649,-0.034,0.021,"[-0.034, 0.021]"
"rmf","n",34,"gs_ai",0.122,0.113,"0.122±0.113",1.075,0.282,-0.1,0.343,"[-0.100, 0.343]"
"rmf","n",34,"gs_par",0.001,0.001,"0.001±0.001",1.796,0.072,-0,0.002,"[-0.000, 0.002]"
"rmf","p",32,"intrcpt",-0.056,0.543,"-0.056±0.543",-0.104,0.918,-1.12,1.007,"[-1.120, 1.007]"
"rmf","p",32,"gs_mat",-0.007,0.01,"-0.007±0.010",-0.704,0.481,-0.027,0.013,"[-0.027, 0.013]"
"rmf","p",32,"gs_ai",-0.058,0.085,"-0.058±0.085",-0.677,0.498,-0.224,0.109,"[-0.224, 0.109]"
"rmf","p",32,"gs_par",0,0,"0.000±0.000",0.416,0.677,-0.001,0.001,"[-0.001, 0.001]"
"rmf","np",34,"intrcpt",-0.917,0.673,"-0.917±0.673",-1.362,0.173,-2.236,0.402,"[-2.236, 0.402]"
"rmf","np",34,"gs_mat",0.002,0.014,"0.002±0.014",0.131,0.896,-0.026,0.029,"[-0.026, 0.029]"
"rmf","np",34,"gs_ai",0.151,0.118,"0.151±0.118",1.279,0.201,-0.08,0.382,"[-0.080, 0.382]"
"rmf","np",34,"gs_par",0.001,0.001,"0.001±0.001",1.214,0.225,-0,0.002,"[-0.000, 0.002]"
"rootshoot","n",34,"intrcpt",-1.651,1.241,"-1.651±1.241",-1.331,0.183,-4.083,0.781,"[-4.083, 0.781]"
"rootshoot","n",34,"gs_mat",-0.01,0.025,"-0.010±0.025",-0.391,0.696,-0.058,0.039,"[-0.058, 0.039]"
"rootshoot","n",34,"gs_ai",0.318,0.244,"0.318±0.244",1.304,0.192,-0.16,0.797,"[-0.160, 0.797]"
"rootshoot","n",34,"gs_par",0.002,0.001,"0.002±0.001",1.34,0.18,-0.001,0.004,"[-0.001, 0.004]"
"rmf","p",33,"intrcpt",1.16,1.305,"1.160±1.305",0.889,0.374,-1.397,3.718,"[-1.397, 3.718]"
"rmf","p",33,"gs_mat",-0.038,0.025,"-0.038±0.025",-1.53,0.126,-0.087,0.011,"[-0.087, 0.011]"
"rmf","p",33,"gs_ai",-0.228,0.241,"-0.228±0.241",-0.946,0.344,-0.701,0.245,"[-0.701, 0.245]"
"rmf","p",33,"gs_par",-0.001,0.001,"-0.001±0.001",-0.621,0.534,-0.003,0.002,"[-0.003, 0.002]"
"rootshoot","np",35,"intrcpt",-1.699,1.243,"-1.699±1.243",-1.367,0.172,-4.136,0.738,"[-4.136, 0.738]"
"rootshoot","np",35,"gs_mat",0.036,0.026,"0.036±0.026",1.373,0.17,-0.015,0.087,"[-0.015, 0.087]"
"rootshoot","np",35,"gs_ai",0.342,0.239,"0.342±0.239",1.433,0.152,-0.126,0.811,"[-0.126, 0.811]"
"rootshoot","np",35,"gs_par",0,0.001,"0.000±0.001",0.466,0.641,-0.002,0.003,"[-0.002, 0.003]"
